created_at,id,text,screen_name,rt,fav
Thu Mar 19 23:00:10 +0000 2015,5.78692E+17,Saving for a #vacation but not sure where to go? Find out why #Europe may be the best option for you! http://t.co/RnWxLiM8U5 via @csmonitor,mint,3,4
,,,,,
Wed Mar 18 22:00:18 +0000 2015,5.78315E+17,#DIY: Check out these 31 #cheap #tricks for making your bathroom the best room in the house http://t.co/9JwWEf46Wq via @BuzzFeed,mint,3,4
,,,,,
Wed Mar 18 16:00:26 +0000 2015,5.78224E+17,"#Minters, learn how to turn your kids' difficult #money questions into teachable moments: http://t.co/ht27vlmfc0 #VIDEO via @MONEY",mint,4,4
,,,,,
Tue Mar 17 23:00:21 +0000 2015,5.77968E+17,Save #money by bringing lunch to work. Get started with one of @POPSUGARSmart\u2019s tasty lunch recipes http://t.co/fx22422FNy #EverydayTriumphs,mint,5,6
,,,,,
Tue Mar 17 16:00:31 +0000 2015,5.77862E+17,"Top o\u2019 the mornin\u2019 to ya, #Minters! This #StPattysDay make sure to preserve your pot of gold! http://t.co/NWX7ElmSnn http://t.co/LgMABPjSxo",mint,7,5
,,,,,
Mon Mar 16 23:00:13 +0000 2015,5.77605E+17,"#Minters, it\u2019s a new week &amp; a fresh start! Take charge of your finances now: http://t.co/Sv7wL3RvPQ #MondayMotivation http://t.co/cxF5IFNDP0",mint,7,7
,,,,,
Mon Mar 16 16:02:13 +0000 2015,5.775E+17,Unforeseen bills can sting! Try these 5 tips for passing a personal-finance stress test: http://t.co/0wQhlaEcaF via @WSJ,mint,3,6
,,,,,
Sun Mar 15 18:00:27 +0000 2015,5.77167E+17,Take that first step to understand your finances and start #saving for the future. http://t.co/V4XWGekPND http://t.co/REcCN4GZcJ,mint,4,7
,,,,,
Sun Mar 15 18:00:27 +0000 2015,5.77167E+17,Take that first step to understand your finances and start #saving for the future. http://t.co/V4XWGekPND http://t.co/REcCN4GZcJ,mint,4,7
,,,,,
Fri Mar 13 23:00:18 +0000 2015,5.76518E+17,"#Minters, check out these 6 ways to win your #MarchMadness office pool &amp; #save the cash! http://t.co/OlI9RMA7Bq via @MONEY #NCAATournament",mint,1,1
,,,,,
Thu Mar 12 23:00:23 +0000 2015,5.76156E+17,Are you thinking of #marriage? Check out these 33 smart ways to #save #money on your special day! http://t.co/V5SVH1rqyy via @BuzzFeed,mint,6,10
,,,,,
Thu Mar 12 17:00:40 +0000 2015,5.76065E+17,"#Minters, learn how to keep your family\u2019s grocery bill under $400 a month: http://t.co/06omxfaCIG #EverydayTriumphs via @MoneyNing",mint,1,6
,,,,,
