created_at,id,text,screen_name,rt,fav
Thu Sep 01 13:36:30 +0000 2016,771340962375229440,TODAY we're launching a 30-Day #MoneyCleanse &amp; Contest! Check out the challenges &amp; prizes! https://t.co/efH1epdi6n\n https://t.co/YR7gWNY0tJ,PersonalCapital,2,1
Thu Aug 25 22:10:15 +0000 2016,768933533926633473,Is your child learning about money at school? What are they learning? via @UrbanMuseWriter: https://t.co/90Gvbj4G4h https://t.co/qxtalndQQ0,PersonalCapital,1,2
Mon Aug 22 18:04:30 +0000 2016,767784525178937344,What job helped wipe out your #StudentLoans pronto? Tell us your story! via @themightywidow: https://t.co/jMr0vUumiV https://t.co/jWcXrbv4Pk,PersonalCapital,0,0
Thu Aug 18 17:45:06 +0000 2016,766330091051692032,Here are 4 #money lessons you should talk to your #college-bound child about now. https://t.co/3c1RCg9kUQ https://t.co/Sdmnl8CXmY,PersonalCapital,0,0
Wed Aug 17 17:00:08 +0000 2016,765956389235634177,"If you could save $3,000 per month, would you live in a tiny home? via @debbie_kearns https://t.co/rsi7rFyine https://t.co/XmWNNbXjZx",PersonalCapital,0,3
Tue Aug 16 17:20:52 +0000 2016,765599220283744257,RT @FamZoo: Play the Sweep-To-Savings game with your teen. Here's how =&gt; https://t.co/lBt3pNr5NN https://t.co/p5vV2NHTKz,PersonalCapital,1,0
Tue Aug 09 19:33:52 +0000 2016,763095973241483264,We agree @RobCobb_INSC! The combined net worth of #Rio2016 Olympians is staggeringly high https://t.co/k9GJmJLJzk Happy we can shine a light,PersonalCapital,0,1
Tue Aug 09 18:07:34 +0000 2016,763074257819570176,Americans are more worried about their retirement if Hillary wins the election. Shocked? https://t.co/33xuyXUkkG https://t.co/mYsFwtumX6,PersonalCapital,2,2
Mon Aug 08 17:41:18 +0000 2016,762705258858426372,RT @BillHarris_PC: Mutual funds are far past their prime for most #investors. Let me list the ways on @CNBC https://t.co/tbWBI2AUti\n https:\u2026,PersonalCapital,5,0
Fri Aug 05 18:55:43 +0000 2016,761636822921256960,Here's what the #Olympics and #money have in common. Do your #finances deserve a gold medal? https://t.co/l77Y7thdlS https://t.co/tXSI5r6Gc9,PersonalCapital,1,0
Fri Aug 05 16:18:10 +0000 2016,761597174647918592,Are you confident your #retirement savings are on track? See where you could improve: https://t.co/mdekE4baFV https://t.co/Ytx0ea6SE6,PersonalCapital,3,2
Tue Aug 02 16:29:22 +0000 2016,760512828855898112,Wondering how much #money #Olympians are worth #rio2016? Find out: https://t.co/jgFWygf4B1 https://t.co/lfPrxidiEO https://t.co/F0yjdFiPw5,PersonalCapital,0,2
Sat Jul 30 16:05:25 +0000 2016,759419637004021761,Personal Capital Talks: Do you know where your #money is going? Track your #spending today! https://t.co/AdoZRoHWIk https://t.co/BoQ65gd2JA,PersonalCapital,1,1
Fri Jul 29 23:03:07 +0000 2016,759162365233344512,Straight from our experts - here's what you need to know about the #markets this week.  https://t.co/qnUsozH6DW https://t.co/ZxK3i3CIfO,PersonalCapital,0,1
Fri Jul 29 14:00:13 +0000 2016,759025742973800448,What #Pok\xe9monGo can teach #Millennials about #money from @MichaelRuderman on @HuffPostTech: https://t.co/mqE71OGK2d https://t.co/Yc8zXJkX4O,PersonalCapital,0,0
Mon Jul 25 23:31:20 +0000 2016,757719916946399232,"Going on a #trip? Find the perfect #creditcard for your summer travels, via @ClubThrifty: https://t.co/o6tXd6Bg6o https://t.co/x9ZGHzUmQg",PersonalCapital,2,0
Mon Jul 25 22:58:59 +0000 2016,757711775366205440,Congratulations to PC's @mitigaterisknowfor! ISE West People's Choice Award Winner 2016! https://t.co/e2pxmprD37 https://t.co/j2Xnoourtm,PersonalCapital,1,1
Fri Jul 22 20:15:10 +0000 2016,756583387217797120,"The 6 most affordable trips to take with your #family this summer, via @ClubThrifty: https://t.co/0N3uAu67iY https://t.co/OunCpFaqIg",PersonalCapital,3,0
Thu Jul 21 23:48:59 +0000 2016,756274808510291968,Personal Capital named as a Top Financial Planning App by @PC_World. Thanks @mansaldo! https://t.co/VUCqiEJgOR https://t.co/i1TluNze7A,PersonalCapital,2,4
Thu Jul 21 22:37:34 +0000 2016,756256833698877440,"RT @USNewsMoney: Before hiring a real estate agent, you need to read this: https://t.co/Z86y9HcGP9 https://t.co/UyxGXkSR0Q",PersonalCapital,1,0
Thu Jul 21 20:42:40 +0000 2016,756227918099980291,"Study shows that a #StarterHome is becoming a #RealEstate relic, via @HalMBundrick: https://t.co/Jtbsr7yp3N https://t.co/N7mL2RZpiK",PersonalCapital,0,0
Wed Jul 20 15:00:13 +0000 2016,755779349811310592,Are you a millennial looking to start a family? Take a look at your finances first: https://t.co/RX7fOlrxhN https://t.co/qpLiqvPHeT,PersonalCapital,1,0
Tue Jul 19 21:00:14 +0000 2016,755507565077811200,Check out our open #javascript #engineering roles through @WomenWhoCode! Details here: https://t.co/jeht1cYzXQ https://t.co/nJLG95r4ZC,PersonalCapital,5,16
Tue Jul 19 18:00:16 +0000 2016,755462275515883520,"Siblings can divide #caregiving responsibilities for aging parents, via @UrbanMuseWriter https://t.co/nGVqppzrLv https://t.co/OcMM6AOZIM",PersonalCapital,0,0
Tue Jul 19 16:59:25 +0000 2016,755446962317434881,RT @WomenWhoCode: We have 30 job posts! Our goal is 50 to trigger the next dev phase. https://t.co/JORNJQflLZ Thanks\n@Zendesk @wooga @Perso\u2026,PersonalCapital,22,0
Mon Jul 18 18:06:03 +0000 2016,755101342947954689,"As #BabyBoomers grow older, spending on #HealthCare is expected to grow by 50%, via @Luhby: https://t.co/MUEeCm1RXq https://t.co/vlFPd3EC1j",PersonalCapital,0,1
Mon Jul 18 17:30:10 +0000 2016,755092311348916224,"#Wages are finally seeing steady growth. See what's on the horizon, via @lamonicabuzz https://t.co/iovx53Wiv3 https://t.co/mtRTnOn1iI",PersonalCapital,1,1
Thu Jul 14 21:10:16 +0000 2016,753698150297112576,Have kids going to #summercamp? Here's what #SanFrancisco had to say about budgeting for it: https://t.co/0WJkPxq0cl https://t.co/yIkNuKbzNK,PersonalCapital,1,0
Thu Jul 14 17:00:23 +0000 2016,753635263830593539,Check us out along Market Street in San Francisco! Tag/tweet @PersonalCapital if you spot us! ;) https://t.co/A8VOFEFDO5,PersonalCapital,0,3
Thu Jul 14 05:15:08 +0000 2016,753457780963409921,"Regretting that summer time share? Four ways to get rid of it, via @usatoday : https://t.co/4Wi1qWGd9O https://t.co/khhcqxBwAW",PersonalCapital,1,1
Wed Jul 13 22:00:13 +0000 2016,753348330005024768,"From car #loans to #creditcards, best ways to pay off different types of debt, via @geoffw: https://t.co/8kjbR718et https://t.co/N5UT8ZUHld",PersonalCapital,0,1
Wed Jul 13 18:49:24 +0000 2016,753300310966177792,RT @LaurenYoung: 15 minutes left in #ReutersWealth. Join an incredible lineup of experts who are discussing families and money! https://t.c\u2026,PersonalCapital,7,0
Wed Jul 13 18:25:09 +0000 2016,753294208006356993,.@LaurenYoung A6) Kick off family finance meeting with a checklist: https://t.co/BLCdJo4VBz #ReutersWealth https://t.co/0nU0pFmCsL,PersonalCapital,2,2
Wed Jul 13 04:00:11 +0000 2016,753076532340465664,"Buying an older #home? Pro advice on the value of home #warranties, via @debbie_kearns : https://t.co/UPdPLI5OPW https://t.co/ZnIiMx6NRW",PersonalCapital,0,2
Tue Jul 12 17:56:11 +0000 2016,752924530876612609,RT @BryanYurcan: @PersonalCapital Teams up with Community Banks: https://t.co/WJW6V1Kbpw,PersonalCapital,1,0
Tue Jul 12 17:00:07 +0000 2016,752910422311772160,"U.S #bond yield hits all time low... What this means for you, via @byHeatherLong https://t.co/cQV8g5TPGz https://t.co/ptDNxW4WB7",PersonalCapital,0,0
Fri Jul 08 23:14:06 +0000 2016,751554983829467136,Going on a trip this summer? See what San Francisco had to say about vacation finances: https://t.co/l0wrxlCiQv https://t.co/WtZUzLzkHl,PersonalCapital,0,0
Fri Jul 08 23:01:52 +0000 2016,751551906711941120,"Thinking about using a store #credit card? What to know before you sign up, via @vcmcguire : https://t.co/QrQTBwMFFw https://t.co/jSCEGwTHZ1",PersonalCapital,1,1
Fri Jul 08 22:00:15 +0000 2016,751536398960766976,"New record low in for the 10-year #Treasury note and what it could mean, via @WSJ : https://t.co/7BIPlAbuRO https://t.co/45Ar6OTiQn",PersonalCapital,1,1
Wed Jul 06 23:00:12 +0000 2016,750826711466381312,"Making #yolo money decisions? It could be sabotaging your wallet, via @UrbanMuseWriter: https://t.co/mIqNvBDCBa https://t.co/dQbpMyLnXz",PersonalCapital,2,2
Wed Jul 06 18:00:30 +0000 2016,750751289898708993,Single parent? Handle your #finances with this index card trick! via @Moleftwich : https://t.co/LQJptlX3vb https://t.co/kYlTxR4Zv4,PersonalCapital,1,1
Wed Jul 06 17:42:13 +0000 2016,750746688919203840,RT @CNNMoney: 18 items you should never pay for\nhttps://t.co/NMzxsTzy8W https://t.co/VGw1ayhT3B,PersonalCapital,25,0
Wed Jul 06 05:00:12 +0000 2016,750554923188781056,"How low can the #mortgage rates go? Find out, via @WSJ: https://t.co/kyalVlfp7d https://t.co/HjHkKlt6Tf https://t.co/lf5W4WvNkr",PersonalCapital,1,1
Tue Jul 05 16:30:09 +0000 2016,750366165986209792,"#Finance and healthcare predicted to drive wealth for millionaires, via @forbes @mtindera07: https://t.co/9XIhQvINix https://t.co/2KTubfqd4Y",PersonalCapital,0,2
Fri Jul 01 23:40:11 +0000 2016,749024833157992449,"#ShawshankRedemption wasn't just a good film, it had a few lessons about personal finance: https://t.co/KEFXeNPS7A https://t.co/QMVy8M74eo",PersonalCapital,0,1
